item_id,purchase?
5,YES
7,NO
8,NO
31,YES
40,NO
74,NO
89,YES
97,YES
106,NO
143,YES
157,NO
162,NO
164,NO
171,YES
177,NO
205,NO
218,NO
222,YES
235,NO
238,NO
248,NO
285,NO
292,NO
319,NO
325,YES
329,NO
334,NO
354,NO
361,NO
362,NO
395,NO
405,NO
407,NO
410,NO
429,NO
443,NO
453,NO
468,YES
477,NO
478,NO
528,YES
529,NO
531,NO
543,NO
548,YES
553,NO
574,YES
581,YES
598,NO
638,NO
653,NO
687,YES
708,NO
740,NO
785,NO
793,YES
827,NO
830,YES
831,NO
837,NO
840,NO
841,NO
849,NO
870,NO
879,NO
883,NO
910,NO
911,YES
918,YES
928,YES
960,YES
961,YES
973,NO
975,YES
999,NO
1008,YES
1009,NO
1012,YES
1014,YES
1027,YES
1030,NO
1051,YES
1052,YES
1054,YES
1061,NO
1080,YES
1085,YES
1096,NO
1128,NO
1134,NO
1144,NO
1148,NO
1171,NO
1179,NO
1183,YES
1184,NO
1199,NO
1215,YES
1216,YES
1219,NO
1224,YES
1229,YES
1230,NO
1246,NO
1259,NO
1272,NO
1298,NO
1304,NO
1306,NO
1308,NO
1319,NO
1329,NO
1360,YES
1385,YES
1411,NO
1445,NO
1456,NO
1460,NO
1475,YES
1481,NO
1484,NO
1492,NO
1502,YES
1514,NO
1550,NO
1552,YES
1571,NO
1593,NO
1595,NO
1608,NO
1660,YES
1662,YES
1663,NO
1668,NO
1678,NO
1685,YES
1689,YES
1690,YES
1721,NO
1723,NO
1724,YES
1745,NO
1777,NO
1778,NO
1807,NO
1822,YES
1841,NO
1855,NO
1861,NO
1864,NO
1867,NO
1869,NO
1874,YES
1887,NO
1896,YES
1897,NO
1898,NO
1904,NO
1919,NO
1927,NO
1928,NO
1935,YES
1944,YES
1946,NO
1973,NO
1999,YES
2000,NO
2024,NO
2035,NO
2060,YES
2062,NO
2063,NO
2070,NO
2079,YES
2082,YES
2119,NO
2123,NO
2128,NO
2133,YES
2135,NO
2143,NO
2148,YES
2153,YES
2184,NO
2203,YES
2218,NO
2231,YES
2234,NO
2240,NO
2301,YES
2332,NO
2338,NO
2344,NO
2346,NO
2352,YES
2361,NO
2365,NO
2371,NO
2376,NO
2381,YES
2398,NO
2411,YES
2462,NO
2475,NO
2541,NO
2543,NO
2552,NO
2583,NO
2587,YES
2611,NO
2622,NO
2625,YES
2629,YES
2641,NO
2644,YES
2656,YES
2667,NO
2684,NO
2687,NO
2688,NO
2726,NO
2733,NO
2734,YES
2738,YES
2740,NO
2757,NO
2776,NO
2789,NO
2790,NO
2812,NO
2819,NO
2824,NO
2829,NO
2861,NO
2877,NO
2880,NO
2907,NO
2918,NO
2929,NO
2939,NO
2943,YES
2945,NO
2962,NO
2964,YES
2990,NO
2995,NO
3027,NO
3053,NO
3065,YES
3067,NO
3074,NO
3075,NO
3083,NO
3085,NO
3091,YES
3099,NO
3106,NO
3113,NO
3118,NO
3130,NO
3159,YES
3160,YES
3178,NO
3203,NO
3235,NO
3249,NO
3286,NO
3327,YES
3331,NO
3359,NO
3361,NO
3385,NO
3403,NO
3424,NO
3431,NO
3464,NO
3478,NO
3493,NO
3506,NO
3507,NO
3526,NO
3532,NO
3545,YES
3557,NO
3568,NO
3576,NO
3577,YES
3609,NO
3610,YES
3618,NO
3629,NO
3671,YES
3686,NO
3693,YES
3713,NO
3740,NO
3773,YES
3774,NO
3775,NO
3804,NO
3805,NO
3851,NO
3856,NO
3867,NO
3868,NO
3881,NO
3902,NO
3909,NO
3911,YES
3941,NO
3960,NO
4001,NO
4016,NO
4017,YES
4037,YES
4048,YES
4067,NO
4072,NO
4087,NO
4094,NO
4111,NO
4112,NO
4120,NO
4121,YES
4124,NO
4126,NO
4134,NO
4139,NO
4149,NO
4170,YES
4190,YES
4214,NO
4219,NO
4220,NO
4225,NO
4260,NO
4268,NO
4291,NO
4305,NO
4307,NO
4321,NO
4326,NO
4331,YES
4335,YES
4358,NO
4361,NO
4411,NO
4415,NO
4427,YES
4433,NO
4434,NO
4435,NO
4477,NO
4495,YES
4496,NO
4499,NO
4507,NO
4523,NO
4532,NO
4548,NO
4556,NO
4560,NO
4593,NO
4619,NO
4632,NO
4638,NO
4652,NO
4664,NO
4671,NO
4677,NO
4679,NO
4682,YES
4688,NO
4691,NO
4701,NO
4747,NO
4750,NO
4765,NO
4767,NO
4776,NO
4806,NO
4807,NO
4811,NO
4840,NO
4846,NO
4851,YES
4861,NO
4864,NO
4869,NO
4876,YES
4908,YES
4913,NO
4935,NO
4957,NO
4982,NO
4995,NO
4998,NO
5023,YES
5030,NO
5050,NO
5068,NO
5089,NO
5103,NO
5105,YES
5122,NO
5124,NO
5165,YES
5172,NO
5185,NO
5205,NO
5212,NO
5232,NO
5240,NO
5243,NO
5245,NO
5253,NO
5293,NO
5338,NO
5343,NO
5349,NO
5354,NO
5356,NO
5361,NO
5366,YES
5377,NO
5402,NO
5403,NO
5437,NO
5451,YES
5457,NO
5458,NO
5460,NO
5468,YES
5480,NO
5490,YES
5507,YES
5508,NO
5512,NO
5517,YES
5524,NO
5535,NO
5537,NO
5555,NO
5566,YES
5596,NO
5598,NO
5622,NO
5624,NO
5627,NO
5656,NO
5660,NO
5673,NO
5722,NO
5725,YES
5731,NO
5740,NO
5743,NO
5754,NO
5770,NO
5785,NO
5788,YES
5804,NO
5805,NO
5811,NO
5816,NO
5834,NO
5836,NO
5838,NO
5872,YES
5882,NO
5892,NO
5901,NO
5903,NO
5920,NO
5922,NO
5965,NO
5980,NO
5995,NO
6024,NO
6025,YES
6050,NO
6061,NO
6079,NO
6095,NO
6129,NO
6130,NO
6143,NO
6157,NO
6184,YES
6198,NO
6204,NO
6217,NO
6218,YES
6221,NO
6229,NO
6235,NO
6242,NO
6258,NO
6260,YES
6266,NO
6297,NO
6302,NO
6306,NO
6344,YES
6366,YES
6369,NO
6378,NO
6395,NO
6398,NO
6410,NO
6412,NO
6418,NO
6433,YES
6440,NO
6467,NO
6469,YES
6491,NO
6493,NO
6507,YES
6515,NO
6521,NO
6558,NO
6562,NO
6577,NO
6584,YES
6595,YES
6635,NO
6641,NO
6646,NO
6650,NO
6658,NO
6669,NO
6677,NO
6727,NO
6729,NO
6743,NO
6751,NO
6790,YES
6792,NO
6814,NO
6817,NO
6823,NO
6835,NO
6863,NO
6870,YES
6889,NO
6890,NO
6891,NO
6896,NO
6907,NO
6911,NO
6913,NO
6925,NO
6943,NO
6953,NO
6977,NO
7001,NO
7003,NO
7007,NO
7012,NO
7030,NO
7037,NO
7045,NO
7062,NO
7066,NO
7070,NO
7089,YES
7095,NO
7107,NO
7108,NO
7122,NO
7125,YES
7136,NO
7141,YES
7152,YES
7155,NO
7166,NO
7175,NO
7190,NO
7202,NO
7217,NO
7221,NO
7229,NO
7236,YES
7243,NO
7245,NO
7263,NO
7272,NO
7279,NO
7285,NO
7311,NO
7312,NO
7313,NO
7349,NO
7358,NO
7368,NO
7372,NO
7383,YES
7384,NO
7437,NO
7444,NO
7480,NO
7481,NO
7496,YES
7497,NO
7502,NO
7504,NO
7521,NO
7526,NO
7540,NO
7542,NO
7548,NO
7579,NO
7581,NO
7586,NO
7589,NO
7594,NO
7595,NO
7606,NO
7610,YES
7625,YES
7626,YES
7634,NO
7637,NO
7664,NO
7671,NO
7689,NO
7696,NO
7712,NO
7713,NO
7735,NO
7756,NO
7765,NO
7768,NO
7769,YES
7788,NO
7799,NO
7838,NO
7904,NO
7908,NO
7957,NO
7993,NO
8002,NO
8059,NO
8072,NO
8104,NO
8111,NO
8131,NO
8146,NO
